actor_name;place_name;activity_type;start_year;end_year;notes
MacAndrews & Forbes;Söke;procurement;;;
MacAndrews & Forbes;Söke;processing;;;
MacAndrews & Forbes;Söke;legal_dispute;;;
MacAndrews & Forbes;Menemen;legal_dispute;;;
MacAndrews & Forbes;Umurlu;legal_dispute;;;
MacAndrews & Forbes;Nazilli;processing;;;
MacAndrews & Forbes;Umurlu;procurement;;;
MacAndrews & Forbes;İzmir;export;;;
Simon & Co.;Umurlu;legal_dispute;;;
Italian Martini Company;Umurlu;legal_dispute;;;
Simon & Co.;Umurlu;procurement;;;
Abacıoğlu;Söke;procurement;;;
Abacıoğlu;Söke;processing;;;
Atnaş Dimo;Söke;tax_farming;;;
Avadikyan;Manisa;legal_dispute;;;
Avadikyan;İzmir;consular_intervention;;;
Arakçin;Menemen;legal_dispute;;;
İstelyo Yani;Menemen;legal_dispute;;;
Hacı Davud;Menemen;legal_dispute;;;
Sarandidi;Menemen;legal_dispute;;;
Hayim Nesim Polako;Menemen;legal_dispute;;;
Alexander Forbes;Menemen;legal_dispute;;;
Varpati;Söke;legal_dispute;;;
Oseb;Söke;processing;;;
Şahinoğlu Artin;Söke;processing;;;
Atanas;Nazilli;processing;;;